accountId,date_acquired,cust_age,avg_order_rev,min_order_rev,max_order_rev,tot_order_cnt,churned
9952,2013-04-30,1192,219.15,170,335,5,1
9985,2013-04-30,1192,1045.446667,941.24,1176,3,1
9989,2013-04-30,1192,850.25,653,1047.5,2,1
9991,2013-07-05,1126,277.965,273.12,282.81,2,1
9993,2013-05-22,1170,541.433333,277.35,687.5,3,1
9997,2013-04-30,1192,1626.405,1456.25,1796.56,2,1
10001,2013-04-30,1192,841.954,581.5,933.6,5,1
10003,2013-04-30,1192,534.5975,368.5,644.84,4,1
10013,2013-04-30,1192,783.125,605.36,960.89,2,1
10044,2013-04-30,1192,490.75,490.75,490.75,3,1
10065,2013-05-01,1191,275.12,203.32,346.92,2,1
10070,2013-05-01,1191,287.158,203.3,366.62,5,0
10073,2013-05-01,1191,397.75,377,418.5,2,1
10090,2013-05-01,1191,624.74,407.2,842.28,3,1
10110,2013-05-01,1191,328.0375,119.96,792.35,4,0
10113,2013-05-01,1191,1144.658,160.56,2155,7,0
10117,2013-05-01,1191,1020.605,521.25,1519.96,2,1
10121,2013-05-01,1191,237.783333,205.5,274.75,3,1
10140,2013-05-24,1168,1237.75,73.5,2402,2,1
10141,2013-05-01,1191,423.995,226.98,724.4,4,1
10144,2013-07-11,1120,464.875,303.75,626,2,1
10154,2013-05-01,1191,240.7,57.6,423.8,2,1
10165,2013-05-02,1190,481.48,187,775.96,2,1
10170,2013-05-01,1191,704.9,704.9,704.9,2,1
10178,2013-05-01,1191,807.44,645.28,969.6,2,1
10189,2013-05-03,1189,606.346667,413.76,712.6,3,1
10213,2013-05-02,1190,556.566667,259.14,875.48,3,1
10214,2013-05-02,1190,457.115,380.64,533.59,2,1
10225,2013-05-02,1190,472.76,188.74,690.02,3,1
10226,2013-05-02,1190,410.36,405.72,415,3,1
10240,2013-05-02,1190,243.045,234.09,252,2,0
10242,2013-05-02,1190,526.725,405.45,648,2,1
10243,2013-05-02,1190,594.468333,167.4,822.89,6,0
10247,2013-05-03,1189,2747.333333,270,5206.25,3,1
10259,2013-05-17,1175,959.8575,822.33,1294.5,4,0
10260,2013-05-02,1190,612.52,118,996.88,3,1
